"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-56.3342170715332,275.08642578125,-2473.76489257812,-76.7818298339844,258.722808837891,-2451.89086914062,-33.1104698181152,154.522964477539,-2476.1123046875,-74.8987045288086,75.9889068603516,-2464.95385742188,-44.1705093383789,52.0728187561035,-2454.62670898438,-30.6572933197021,-35.7767791748047,-2443.7666015625
-56.0554046630859,275.111328125,-2473.556640625,-76.6538848876953,258.718536376953,-2451.82885742188,-32.8637924194336,154.534515380859,-2475.88793945312,-74.8024826049805,76.0151214599609,-2464.95239257812,-44.1149063110352,52.066967010498,-2454.587890625,-30.6360378265381,-35.793083190918,-2443.7353515625
-55.7815475463867,275.091064453125,-2473.31958007812,-76.5302810668945,258.660949707031,-2451.75415039062,-32.5749206542969,154.521621704102,-2475.67724609375,-74.7137451171875,76.0406723022461,-2464.94506835938,-44.0655784606934,52.0510635375977,-2454.54614257812,-30.6185932159424,-35.8110885620117,-2443.703125
-55.481746673584,275.026489257812,-2473.0419921875,-76.3960113525391,258.546997070312,-2451.66552734375,-32.2108879089355,154.483963012695,-2475.4599609375,-74.6240081787109,76.0693054199219,-2464.93310546875,-44.0166816711426,52.02490234375,-2454.49755859375,-30.6043739318848,-35.8303108215332,-2443.66650390625
-55.150936126709,274.913513183594,-2472.72680664062,-76.2477493286133,258.370574951172,-2451.56591796875,-31.7584857940674,154.418823242188,-2475.23608398438,-74.5330505371094,76.1025543212891,-2464.91723632812,-43.9678268432617,51.9884185791016,-2454.44091796875,-30.5950698852539,-35.8487739562988,-2443.625
-54.7987289428711,274.746185302734,-2472.38452148438,-76.0887222290039,258.125427246094,-2451.46020507812,-31.2171421051025,154.323272705078,-2475.0166015625,-74.4441375732422,76.1409683227539,-2464.89794921875,-43.9215202331543,51.9422378540039,-2454.37719726562,-30.5935382843018,-35.863582611084,-2443.58032226562
-54.4417266845703,274.517608642578,-2472.02905273438,-75.9254150390625,257.806365966797,-2451.35278320312,-30.5937976837158,154.1953125,-2474.81567382812,-74.3605804443359,76.1848983764648,-2464.87573242188,-43.8814849853516,51.8878288269043,-2454.30786132812,-30.6028614044189,-35.8715515136719,-2443.53540039062
-54.098461151123,274.220520019531,-2471.67456054688,-75.7653198242188,257.410125732422,-2451.24560546875,-29.8998374938965,154.034454345703,-2474.64672851562,-74.2832260131836,76.2348403930664,-2464.85083007812,-43.8516387939453,51.8273391723633,-2454.23583984375,-30.6255664825439,-35.8698425292969,-2443.49365234375
-53.7861213684082,273.848266601562,-2471.333984375,-75.6152801513672,256.93603515625,-2451.13891601562,-29.1495628356934,153.841812133789,-2474.52026367188,-74.2093734741211,76.291389465332,-2464.82421875,-43.8354835510254,51.7632369995117,-2454.16479492188,-30.6631031036377,-35.8565330505371,-2443.45874023438
-53.5183715820312,273.396179199219,-2471.01977539062,-75.4803771972656,256.386840820312,-2451.0322265625,-28.3591651916504,153.620071411133,-2474.4423828125,-74.1344375610352,76.3550415039062,-2464.7978515625,-43.8356971740723,51.6979179382324,-2454.09912109375,-30.7156639099121,-35.8310585021973,-2443.43408203125
-53.3039817810059,272.863250732422,-2470.74389648438,-75.3633422851562,255.769256591797,-2450.9267578125,-27.5455493927002,153.373382568359,-2474.41479492188,-74.0557403564453,76.4259414672852,-2464.77465820312,-43.8537902832031,51.6333656311035,-2454.0439453125,-30.782283782959,-35.7944793701172,-2443.42260742188
-53.1463661193848,272.253967285156,-2470.51684570312,-75.264518737793,255.094146728516,-2450.826171875,-26.7253150939941,153.107086181641,-2474.43603515625,-73.9756011962891,76.5037231445312,-2464.75830078125,-43.8898048400879,51.5709495544434,-2454.00415039062,-30.8610687255859,-35.7494926452637,-2443.4267578125
-53.0443229675293,271.579071044922,-2470.34716796875,-75.1825256347656,254.375869750977,-2450.73706054688,-25.9143829345703,152.827301025391,-2474.50244140625,-73.9013442993164,76.5873184204102,-2464.75268554688,-43.9422416687012,51.5113868713379,-2453.984375,-30.9493350982666,-35.7001724243164,-2443.44799804688
-52.993953704834,270.854187011719,-2470.24096679688,-75.1155319213867,253.630630493164,-2450.66796875,-25.1279315948486,152.54035949707,-2474.61010742188,-73.842414855957,76.6748123168945,-2464.76196289062,-44.0083770751953,51.4547996520996,-2453.98803710938,-31.0436210632324,-35.6514167785645,-2443.486328125
-52.9912376403809,270.096801757812,-2470.203125,-75.0627136230469,252.874404907227,-2450.62768554688,-24.3799304962158,152.252090454102,-2474.75537109375,-73.8067779541016,76.7634124755859,-2464.7890625,-44.0849494934082,51.400821685791,-2454.01733398438,-31.139720916748,-35.6081886291504,-2443.53930664062
-53.0342483520508,269.323181152344,-2470.2373046875,-75.0252532958984,252.121032714844,-2450.62255859375,-23.6823329925537,151.96711730957,-2474.93627929688,-73.7987976074219,76.8497085571289,-2464.83569335938,-44.1689567565918,51.3487319946289,-2454.07275390625,-31.2330131530762,-35.5746536254883,-2443.6025390625
-53.1239776611328,268.546783447266,-2470.34619140625,-75.0064086914062,251.381271362305,-2450.65600585938,-23.0446910858154,151.688430786133,-2475.15258789062,-73.8185958862305,76.9301681518555,-2464.90112304688,-44.2582244873047,51.2975387573242,-2454.15356445312,-31.3193511962891,-35.5534591674805,-2443.67016601562
-53.2635726928711,267.778533935547,-2470.53173828125,-75.0106582641602,250.663040161133,-2450.7275390625,-22.4745330810547,151.417404174805,-2475.404296875,-73.8619232177734,77.0016555786133,-2464.982421875,-44.3516159057617,51.2460441589355,-2454.25708007812,-31.3963508605957,-35.5454292297363,-2443.73583984375
-53.4566383361816,267.02783203125,-2470.79418945312,-75.0424194335938,249.972518920898,-2450.83422851562,-21.9778709411621,151.154251098633,-2475.69116210938,-73.920768737793,77.0617370605469,-2465.07543945312,-44.4489288330078,51.1928863525391,-2454.37915039062,-31.4644660949707,-35.5497093200684,-2443.79296875
-53.7055053710938,266.303283691406,-2471.13159179688,-75.1047668457031,249.315246582031,-2450.97143554688,-21.5591793060303,150.89860534668,-2476.01147460938,-73.9852676391602,77.1087341308594,-2465.17504882812,-44.5505905151367,51.1366004943848,-2454.5146484375,-31.5273666381836,-35.5641670227051,-2443.83544921875
-54.0099296569824,265.612396240234,-2471.53930664062,-75.1985855102539,248.696594238281,-2451.13427734375,-21.2207298278809,150.650177001953,-2476.36059570312,-74.0461883544922,77.1416091918945,-2465.2763671875,-44.6571350097656,51.0756187438965,-2454.65795898438,-31.591609954834,-35.5857276916504,-2443.85693359375
-54.3660774230957,264.960357666016,-2472.01025390625,-75.3221206665039,248.121047973633,-2451.31860351562,-20.9610977172852,150.409088134766,-2476.73046875,-74.0969924926758,77.1598739624023,-2465.37475585938,-44.7685279846191,51.008186340332,-2454.8037109375,-31.666036605835,-35.6105117797852,-2443.8515625
-54.7653388977051,264.348388671875,-2472.53540039062,-75.470573425293,247.590301513672,-2451.52026367188,-20.7725505828857,150.17561340332,-2477.10815429688,-74.1352081298828,77.1636352539062,-2465.46630859375,-44.8835601806641,50.9322471618652,-2454.9482421875,-31.7612991333008,-35.633903503418,-2443.814453125
-55.1928749084473,263.772216796875,-2473.10229492188,-75.6354370117188,247.100433349609,-2451.73559570312,-20.6375255584717,149.949111938477,-2477.4755859375,-74.1625213623047,77.1539154052734,-2465.54858398438,-44.9995727539062,50.845329284668,-2455.08911132812,-31.889612197876,-35.650707244873,-2443.74194335938
-55.6260795593262,263.220397949219,-2473.6923828125,-75.803337097168,246.638427734375,-2451.96020507812,-20.5250110626221,149.726150512695,-2477.81005859375,-74.182746887207,77.1332168579102,-2465.62060546875,-45.1126480102539,50.7444686889648,-2455.22509765625,-32.0642967224121,-35.6555023193359,-2443.63354492188
-56.033504486084,262.672454833984,-2474.279296875,-75.9548568725586,246.17839050293,-2452.18872070312,-20.3881053924561,149.498168945312,-2478.08618164062,-74.1978454589844,77.1060409545898,-2465.6826171875,-45.2183570861816,50.6261901855469,-2455.35424804688,-32.2983932495117,-35.643253326416,-2443.4931640625
-56.3753814697266,262.0966796875,-2474.83081054688,-76.0642547607422,245.678070068359,-2452.41479492188,-20.1641750335693,149.248977661133,-2478.28051757812,-74.2039642333984,77.0790863037109,-2465.73559570312,-45.3129844665527,50.4865989685059,-2455.47290039062,-32.6016159057617,-35.6101150512695,-2443.33154296875
-56.6070365905762,261.448364257812,-2475.31079101562,-76.1010055541992,245.076751708984,-2452.63134765625,-19.7785263061523,148.952819824219,-2478.37670898438,-74.1893844604492,77.060676574707,-2465.7802734375,-45.3947486877441,50.3216552734375,-2455.57397460938,-32.9756355285645,-35.5539894104004,-2443.166015625
-56.6858406066895,260.670074462891,-2475.68383789062,-76.0333709716797,244.296035766602,-2452.83129882812,-19.1516094207764,148.574005126953,-2478.37036132812,-74.1345672607422,77.0593872070312,-2465.81567382812,-45.464054107666,50.1277847290039,-2455.64770507812,-33.4095191955566,-35.4741554260254,-2443.01635742188
-56.5807266235352,259.694915771484,-2475.91870117188,-75.8334274291992,243.244659423828,-2453.00634765625,-18.2086448669434,148.069351196289,-2478.27319335938,-74.0135803222656,77.0824127197266,-2465.8369140625,-45.5220108032227,49.9029579162598,-2455.68310546875,-33.8788452148438,-35.3699989318848,-2442.900390625
-56.2811317443848,258.451995849609,-2475.99291992188,-75.4823150634766,241.827255249023,-2453.14770507812,-16.8900909423828,147.393676757812,-2478.11206054688,-73.7978439331055,77.134521484375,-2465.8359375,-45.5681114196777,49.6479377746582,-2455.6689453125,-34.350456237793,-35.2399215698242,-2442.82958984375
-55.8012313842773,256.871887207031,-2475.89526367188,-74.9746627807617,239.955078125,-2453.24633789062,-15.1616373062134,146.506301879883,-2477.92456054688,-73.4636611938477,77.2176666259766,-2465.802734375,-45.5993232727051,49.366584777832,-2455.59692382812,-34.7907485961914,-35.0814781188965,-2442.80834960938
-55.1773452758789,254.890670776367,-2475.62768554688,-74.3211135864258,237.555816650391,-2453.294921875,-13.0217819213867,145.375457763672,-2477.751953125,-73.0006103515625,77.3304138183594,-2465.72973632812,-45.6120834350586,49.0642967224121,-2455.46362304688,-35.1735992431641,-34.892951965332,-2442.8349609375
-54.4600639343262,252.453094482422,-2475.20703125,-73.547737121582,234.580184936523,-2453.29052734375,-10.5039291381836,143.978927612305,-2477.63232421875,-72.4153366088867,77.4668579101562,-2465.61401367188,-45.6061058044434,48.7448310852051,-2455.27172851562,-35.4853782653809,-34.6757392883301,-2442.90356445312
-53.7042350769043,249.516204833984,-2474.66381835938,-72.6916351318359,231.004867553711,-2453.23706054688,-7.67142200469971,142.301940917969,-2477.59350585938,-71.7302703857422,77.6155471801758,-2465.4580078125,-45.5873069763184,48.4072189331055,-2455.02978515625,-35.7261123657227,-34.4363403320312,-2443.00634765625
-52.9593238830566,246.053680419922,-2474.03857421875,-71.7936630249023,226.832733154297,-2453.146484375,-4.60746812820435,140.335144042969,-2477.65087890625,-70.9796981811523,77.7592315673828,-2465.26977539062,-45.5678787231445,48.0446090698242,-2454.74853515625,-35.9067916870117,-34.1868324279785,-2443.13452148438
-52.2617683410645,242.059616088867,-2473.376953125,-70.8905715942383,222.091613769531,-2453.03881835938,-1.40394699573517,138.074478149414,-2477.80810546875,-70.2033386230469,77.8761291503906,-2465.06030273438,-45.5634422302246,47.6457710266113,-2454.43896484375,-36.0441131591797,-33.9433937072754,-2443.27880859375
-51.6307411193848,237.550827026367,-2472.72607421875,-70.0092926025391,216.832778930664,-2452.93969726562,1.84777069091797,135.52311706543,-2478.060546875,-69.4375534057617,77.9430770874023,-2464.84106445312,-45.5887451171875,47.1983337402344,-2454.109375,-36.1548080444336,-33.7234230041504,-2443.43041992188
