"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-51.9582824707031,291.538360595703,-2387.99853515625,-76.1130294799805,269.739990234375,-2390.92456054688,-22.5945205688477,184.425567626953,-2331.70776367188,-77.8837509155273,90.5167236328125,-2316.06567382812,-33.6633071899414,64.217155456543,-2327.28198242188,-43.826602935791,-16.1365871429443,-2299.21875
-51.6054000854492,291.966033935547,-2389.00341796875,-75.9473724365234,270.119812011719,-2391.36157226562,-22.4215564727783,184.583526611328,-2332.17041015625,-77.7654418945312,90.6390609741211,-2316.16870117188,-33.6166877746582,64.4301910400391,-2327.369140625,-43.8861503601074,-15.9034824371338,-2299.20825195312
-51.0945243835449,292.112152099609,-2389.791015625,-75.6610107421875,270.294830322266,-2391.57592773438,-21.7911739349365,184.517517089844,-2332.52099609375,-77.5988693237305,90.7642822265625,-2316.31567382812,-33.5509948730469,64.5753936767578,-2327.45532226562,-43.9597358703613,-15.6670475006104,-2299.193359375
-50.4585838317871,292.074432373047,-2390.46630859375,-75.2822189331055,270.337036132812,-2391.64892578125,-20.7878723144531,184.294128417969,-2332.83666992188,-77.3798828125,90.9026489257812,-2316.50927734375,-33.4626655578613,64.6827926635742,-2327.55395507812,-44.0430183410645,-15.413049697876,-2299.17407226562
-49.75634765625,291.898651123047,-2391.04248046875,-74.8501358032227,270.272552490234,-2391.6142578125,-19.4966640472412,183.956451416016,-2333.14770507812,-77.1150512695312,91.0529708862305,-2316.74438476562,-33.3527069091797,64.7616195678711,-2327.67016601562,-44.1271324157715,-15.1471290588379,-2299.15209960938
-49.0621147155762,291.61181640625,-2391.50219726562,-74.4126815795898,270.109832763672,-2391.49047851562,-18.0232810974121,183.542526245117,-2333.46240234375,-76.8207244873047,91.2071151733398,-2317.00805664062,-33.2268180847168,64.8135528564453,-2327.80444335938,-44.2011604309082,-14.8843669891357,-2299.13037109375
-48.4464950561523,291.236053466797,-2391.83422851562,-74.016960144043,269.854949951172,-2391.2958984375,-16.4875621795654,183.088348388672,-2333.77856445312,-76.5192642211914,91.3535919189453,-2317.28247070312,-33.0944709777832,64.8385925292969,-2327.95434570312,-44.2551879882812,-14.6417455673218,-2299.11254882812
-47.9587860107422,290.792724609375,-2392.04907226562,-73.6984710693359,269.5185546875,-2391.0537109375,-15.0050363540649,182.623779296875,-2334.08935546875,-76.2334976196289,91.4804077148438,-2317.54858398438,-32.9669075012207,64.8358840942383,-2328.1162109375,-44.2827033996582,-14.4340715408325,-2299.10205078125
-47.6176795959473,290.303100585938,-2392.17944335938,-73.4738464355469,269.117706298828,-2390.79174804688,-13.6684417724609,182.168182373047,-2334.38623046875,-75.9814453125,91.5771789550781,-2317.79052734375,-32.8543853759766,64.8027114868164,-2328.28515625,-44.281421661377,-14.2725515365601,-2299.10205078125
-47.4112815856934,289.787750244141,-2392.271484375,-73.3391647338867,268.674407958984,-2390.537109375,-12.5353755950928,181.729156494141,-2334.66259765625,-75.77294921875,91.6365203857422,-2317.998046875,-32.7635345458984,64.7342529296875,-2328.45532226562,-44.2525062561035,-14.1645269393921,-2299.11401367188
-47.3043251037598,289.264862060547,-2392.37329101562,-73.2738876342773,268.212371826172,-2390.31103515625,-11.6239986419678,181.304733276367,-2334.916015625,-75.6089096069336,91.6548309326172,-2318.16772460938,-32.6958274841309,64.6250991821289,-2328.62133789062,-44.1989402770996,-14.1133260726929,-2299.1376953125
-47.2499504089355,288.747924804688,-2392.5234375,-73.2487411499023,267.753173828125,-2390.12524414062,-10.916314125061,180.887756347656,-2335.1494140625,-75.4827194213867,91.6327209472656,-2318.30249023438,-32.6476974487305,64.4720153808594,-2328.77856445312,-44.1240692138672,-14.1179990768433,-2299.17041015625
-47.2027816772461,288.244049072266,-2392.744140625,-73.2347106933594,267.3125,-2389.9814453125,-10.3672637939453,180.47038269043,-2335.37109375,-75.3829879760742,91.5751571655273,-2318.40991210938,-32.6121215820312,64.2766036987305,-2328.9248046875,-44.0309104919434,-14.1732034683228,-2299.20703125
