"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-30.3219718933105,300.249298095703,-2398.19873046875,-60.3479270935059,287.904388427734,-2398.67260742188,-25.170970916748,183.765228271484,-2351.60546875,-72.7394409179688,91.174674987793,-2320.7548828125,-28.303201675415,63.341667175293,-2332.70629882812,-41.2543258666992,-14.3514347076416,-2302.67431640625
-28.7687950134277,300.0537109375,-2398.65966796875,-58.8849983215332,287.870635986328,-2398.88647460938,-24.6614265441895,183.403625488281,-2351.8525390625,-72.5788421630859,91.0827255249023,-2320.90747070312,-28.2291278839111,63.1197662353516,-2332.7958984375,-41.2414398193359,-14.5268411636353,-2302.50366210938
-27.0759410858154,299.77734375,-2399.251953125,-57.263786315918,287.747802734375,-2399.201171875,-24.0706081390381,182.962707519531,-2352.13061523438,-72.3809585571289,90.9739456176758,-2321.08935546875,-28.1290130615234,62.8567886352539,-2332.89135742188,-41.2080039978027,-14.7351999282837,-2302.29614257812
-25.1121711730957,299.409240722656,-2400.05493164062,-55.3653450012207,287.548889160156,-2399.67114257812,-23.3632011413574,182.430252075195,-2352.48681640625,-72.1296005249023,90.845085144043,-2321.31469726562,-27.995325088501,62.5454750061035,-2333.01196289062,-41.1465682983398,-14.9891080856323,-2302.04223632812
-22.8786525726318,298.951507568359,-2401.1123046875,-53.197338104248,287.285186767578,-2400.3310546875,-22.5460014343262,181.822341918945,-2352.94677734375,-71.8233642578125,90.7013549804688,-2321.58471679688,-27.8285522460938,62.197338104248,-2333.1689453125,-41.051700592041,-15.2870006561279,-2301.74682617188
-20.4528694152832,298.415740966797,-2402.43920898438,-50.8464736938477,286.969970703125,-2401.19213867188,-21.6523494720459,181.171691894531,-2353.51953125,-71.4731369018555,90.5537033081055,-2321.89135742188,-27.6373329162598,61.8352737426758,-2333.36645507812,-40.9223861694336,-15.6182422637939,-2301.4248046875
-17.9444446563721,297.818511962891,-2404.0263671875,-48.4412803649902,286.618621826172,-2402.24047851562,-20.7292461395264,180.516098022461,-2354.19995117188,-71.0988693237305,90.4152221679688,-2322.22094726562,-27.4367790222168,61.4856338500977,-2333.60107421875,-40.7629356384277,-15.96750831604,-2301.09594726562
-15.4637746810913,297.177642822266,-2405.84228515625,-46.1257972717285,286.247680664062,-2403.44067382812,-19.8284893035889,179.890579223633,-2354.96899414062,-70.7250671386719,90.2974243164062,-2322.55786132812,-27.2448921203613,61.1719779968262,-2333.86328125,-40.581974029541,-16.3180274963379,-2300.78076171875
-13.1014738082886,296.509246826172,-2407.83642578125,-44.0420913696289,285.873626708984,-2404.7431640625,-19.0012760162354,179.324493408203,-2355.7958984375,-70.3756408691406,90.2077560424805,-2322.88696289062,-27.078254699707,60.9119110107422,-2334.14038085938,-40.3902587890625,-16.6537971496582,-2300.49755859375
-10.9177017211914,295.825347900391,-2409.9423828125,-42.3188858032227,285.511566162109,-2406.09204101562,-18.2946071624756,178.842208862305,-2356.64208984375,-70.0695114135742,90.1492462158203,-2323.19555664062,-26.9487476348877,60.716911315918,-2334.42041015625,-40.1983489990234,-16.9609775543213,-2300.2607421875
-8.94183444976807,295.132751464844,-2412.08569335938,-41.0643920898438,285.17333984375,-2407.431640625,-17.7478809356689,178.464569091797,-2357.46557617188,-69.8183898925781,90.1220092773438,-2323.47412109375,-26.8624267578125,60.5937080383301,-2334.69458007812,-40.0146827697754,-17.2285251617432,-2300.07958984375
-7.18002605438232,294.433807373047,-2414.19409179688,-40.362476348877,284.865051269531,-2408.71215820312,-17.3889122009277,178.208908081055,-2358.22705078125,-69.6269149780273,90.1251525878906,-2323.716796875,-26.8202838897705,60.5455589294434,-2334.95849609375,-39.844310760498,-17.4480590820312,-2299.95849609375
-5.62492275238037,293.727966308594,-2416.20751953125,-40.2716865539551,284.584381103516,-2409.89306640625,-17.2293548583984,178.087005615234,-2358.89453125,-69.4943084716797,90.1577606201172,-2323.92138671875,-26.8198757171631,60.5726165771484,-2335.21069335938,-39.6886558532715,-17.6130981445312,-2299.8974609375
-4.26338291168213,293.013336181641,-2418.08203125,-40.8263473510742,284.318206787109,-2410.94311523438,-17.2603874206543,178.102310180664,-2359.44702148438,-69.4162292480469,90.218620300293,-2324.08813476562,-26.8569355010986,60.6716842651367,-2335.45239257812,-39.5464859008789,-17.7181606292725,-2299.89184570312
