"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-15.9438934326172,126.81086730957,-2243.7978515625,-34.6629676818848,90.0645217895508,-2277.75805664062,27.3615951538086,56.6656913757324,-2367.24536132812,-63.8822937011719,-27.2837543487549,-2387.81005859375,-46.3739738464355,-57.3025588989258,-2385.10717773438,-30.7606773376465,-155.699508666992,-2410.66064453125
-14.5218391418457,126.231796264648,-2242.73706054688,-34.145580291748,90.2218017578125,-2276.95678710938,27.4087810516357,56.672966003418,-2366.767578125,-63.9128570556641,-27.3228397369385,-2387.89306640625,-46.4108657836914,-57.253246307373,-2385.0341796875,-30.7955951690674,-155.544906616211,-2410.6396484375
-11.9471426010132,125.376541137695,-2241.60791015625,-32.898509979248,90.3474349975586,-2275.89135742188,27.6186065673828,56.5239410400391,-2366.33032226562,-63.980541229248,-27.319938659668,-2387.8896484375,-46.4712715148926,-57.2034454345703,-2384.99389648438,-30.8340072631836,-155.390426635742,-2410.61499023438
-8.06746387481689,124.132308959961,-2240.3359375,-30.8210411071777,90.4315872192383,-2274.52978515625,28.0382900238037,56.1812858581543,-2365.89379882812,-64.072998046875,-27.2864265441895,-2387.837890625,-46.5533485412598,-57.1518440246582,-2384.98120117188,-30.8774070739746,-155.228057861328,-2410.58764648438
-2.82828998565674,122.426834106445,-2238.9443359375,-27.8316764831543,90.4419937133789,-2272.90551757812,28.7208728790283,55.5942878723145,-2365.462890625,-64.1779327392578,-27.227560043335,-2387.76098632812,-46.653507232666,-57.100902557373,-2384.9990234375,-30.9253559112549,-155.063232421875,-2410.56079101562
3.68396878242493,120.230728149414,-2237.51684570312,-23.9120597839355,90.3287506103516,-2271.1025390625,29.7134609222412,54.7091102600098,-2365.0634765625,-64.2832336425781,-27.1466636657715,-2387.67260742188,-46.7667922973633,-57.054500579834,-2385.05297851562,-30.9773597717285,-154.90771484375,-2410.53857421875
11.234094619751,117.560676574707,-2236.166015625,-19.1343975067139,90.0314865112305,-2269.2353515625,31.0469512939453,53.4769401550293,-2364.72412109375,-64.378173828125,-27.0474624633789,-2387.57861328125,-46.8876190185547,-57.0165367126465,-2385.14697265625,-31.0337734222412,-154.774124145508,-2410.52563476562
19.4577751159668,114.480850219727,-2235.00805664062,-13.6735544204712,89.4918060302734,-2267.43383789062,32.7286529541016,51.8604393005371,-2364.46459960938,-64.453727722168,-26.9355239868164,-2387.478515625,-47.0098609924316,-56.9906539916992,-2385.28149414062,-31.0953273773193,-154.672622680664,-2410.52587890625
27.8985862731934,111.099998474121,-2234.14331054688,-7.80264949798584,88.6684951782227,-2265.83251953125,34.7388191223145,49.8386344909668,-2364.29174804688,-64.5016326904297,-26.81911277771,-2387.36669921875,-47.1262321472168,-56.9807357788086,-2385.45239257812,-31.1617832183838,-154.609588623047,-2410.54150390625
36.0561332702637,107.562225341797,-2233.64086914062,-1.87044131755829,87.5490417480469,-2264.5595703125,37.0311622619629,47.4105911254883,-2364.19995117188,-64.5130081176758,-26.7094879150391,-2387.23583984375,-47.2276039123535,-56.9915885925293,-2385.65161132812,-31.2306690216064,-154.587768554688,-2410.57202148438
