"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-68.3766860961914,242.292373657227,-2510.5673828125,-82.7797775268555,206.579452514648,-2500.86694335938,-50.2400436401367,107.725410461426,-2566.826171875,-79.7720336914062,79.9726028442383,-2494.7744140625,-61.2006683349609,48.1562614440918,-2482.37255859375,-33.9575729370117,-41.2483901977539,-2490.62133789062
-68.0448303222656,242.231155395508,-2510.57958984375,-82.7741851806641,206.595611572266,-2500.94897460938,-50.2329940795898,107.587753295898,-2566.78637695312,-79.7514877319336,79.9594116210938,-2494.76098632812,-61.242790222168,48.0655784606934,-2482.43994140625,-34.0321388244629,-41.1726341247559,-2490.56787109375
-67.6604614257812,242.153869628906,-2510.65283203125,-82.7697372436523,206.616592407227,-2501.03271484375,-50.21435546875,107.405250549316,-2566.751953125,-79.7292709350586,79.9451522827148,-2494.74658203125,-61.2793617248535,47.9851303100586,-2482.50439453125,-34.1173210144043,-41.1064872741699,-2490.51684570312
-67.1917495727539,242.047470092773,-2510.80712890625,-82.7651519775391,206.643737792969,-2501.12915039062,-50.1787605285645,107.152503967285,-2566.72583007812,-79.703125,79.9283676147461,-2494.7294921875,-61.3129615783691,47.9098167419434,-2482.56787109375,-34.2221488952637,-41.042163848877,-2490.46606445312
-66.6356887817383,241.902633666992,-2511.06469726562,-82.7592544555664,206.676528930664,-2501.24340820312,-50.1217575073242,106.813400268555,-2566.71459960938,-79.6725234985352,79.9087219238281,-2494.70947265625,-61.3434104919434,47.8404579162598,-2482.62866210938,-34.3495216369629,-40.9787979125977,-2490.41845703125
-66.0081481933594,241.712203979492,-2511.44555664062,-82.7502288818359,206.712158203125,-2501.37939453125,-50.0413131713867,106.378829956055,-2566.72631835938,-79.6379089355469,79.8864974975586,-2494.68701171875,-61.3716659545898,47.7749481201172,-2482.6884765625,-34.4983177185059,-40.9184341430664,-2490.37841796875
-65.3344955444336,241.470581054688,-2511.96313476562,-82.7349395751953,206.744873046875,-2501.54345703125,-49.9390678405762,105.845474243164,-2566.76953125,-79.6001663208008,79.8622665405273,-2494.66235351562,-61.4040260314941,47.6983833312988,-2482.76196289062,-34.6650009155273,-40.8635101318359,-2490.35107421875
-64.641716003418,241.173614501953,-2512.62084960938,-82.7084426879883,206.765243530273,-2501.74731445312,-49.820743560791,105.215301513672,-2566.85229492188,-79.5602645874023,79.8366470336914,-2494.63623046875,-61.4565696716309,47.5726699829102,-2482.8857421875,-34.8449821472168,-40.8156814575195,-2490.34057617188
-63.9530715942383,240.81884765625,-2513.41040039062,-82.6638641357422,206.759643554688,-2502.0087890625,-49.6954612731934,104.495269775391,-2566.9814453125,-79.5190505981445,79.810188293457,-2494.609375,-61.5592651367188,47.3265342712402,-2483.12890625,-35.0340003967285,-40.7755928039551,-2490.34985351562
-63.2857208251953,240.405731201172,-2514.31201171875,-82.5929183959961,206.710540771484,-2502.35083007812,-49.57421875,103.696853637695,-2567.1611328125,-79.477180480957,79.7833023071289,-2494.58203125,NA,NA,NA,-35.2293434143066,-40.7431869506836,-2490.38159179688
