"m1_x","m1_y","m1_z","m2_x","m2_y","m2_z","m3_x","m3_y","m3_z","m4_x","m4_y","m4_z","m5_x","m5_y","m5_z","m6_x","m6_y","m6_z"
-25.3233108520508,103.13924407959,-2497.86303710938,-48.1389122009277,76.3311157226562,-2472.40893554688,-11.1207075119019,4.46405029296875,-2392.072265625,-61.5038375854492,-53.8901634216309,-2338.73388671875,-34.223331451416,-101.208625793457,-2338.83520507812,-27.3778762817383,-178.169250488281,-2295.7607421875
-25.52321434021,101.814064025879,-2499.185546875,-48.0048294067383,75.078010559082,-2473.2470703125,-10.1636219024658,3.99518895149231,-2392.56787109375,-61.1586570739746,-53.9901809692383,-2339.19458007812,-34.1293869018555,-101.353439331055,-2339.06298828125,-27.3947525024414,-178.132019042969,-2295.8935546875
-25.8881168365479,100.466026306152,-2500.21899414062,-47.9076385498047,73.7231292724609,-2473.83911132812,-9.02149868011475,3.46400117874146,-2392.96337890625,-60.7919273376465,-54.1076393127441,-2339.7099609375,-34.0488204956055,-101.529151916504,-2339.31176757812,-27.4731559753418,-178.082595825195,-2296.04321289062
-26.7960376739502,99.0239562988281,-2500.98876953125,-48.0983695983887,72.1735305786133,-2474.138671875,-7.66204929351807,2.86802864074707,-2393.30981445312,-60.3686065673828,-54.2439079284668,-2340.30200195312,-33.9580230712891,-101.735214233398,-2339.61791992188,-27.6008739471436,-178.008255004883,-2296.22924804688
-28.5831127166748,97.5322189331055,-2501.38842773438,-48.8232421875,70.4489974975586,-2474.02221679688,-6.14032125473022,2.24900436401367,-2393.60888671875,-59.8875617980957,-54.3910865783691,-2340.95092773438,-33.8435516357422,-101.957931518555,-2339.99682617188,-27.764762878418,-177.899307250977,-2296.46069335938
-31.4568672180176,96.0896911621094,-2501.27172851562,-50.2602005004883,68.6398773193359,-2473.37231445312,-4.57491254806519,1.67747986316681,-2393.8388671875,-59.3730430603027,-54.5352592468262,-2341.60815429688,-33.7006149291992,-102.174827575684,-2340.44775390625,-27.9478149414062,-177.749420166016,-2296.73950195312
-35.393123626709,94.8020629882812,-2500.54248046875,-52.4377861022949,66.8711624145508,-2472.15258789062,-3.11820363998413,1.23316216468811,-2393.96875,-58.8693656921387,-54.6612281799316,-2342.20947265625,-33.5357246398926,-102.360496520996,-2340.95483398438,-28.1324672698975,-177.556564331055,-2297.0615234375
-40.1135330200195,93.7521209716797,-2499.22412109375,-55.2042236328125,65.2699737548828,-2470.447265625,-1.92132461071014,0.983467161655426,-2393.966796875,-58.4355163574219,-54.7578392028809,-2342.68896484375,-33.3703727722168,-102.492012023926,-2341.48706054688,-28.3083591461182,-177.323547363281,-2297.41723632812
-45.1705131530762,92.9814834594727,-2497.4775390625,-58.276237487793,63.933406829834,-2468.44775390625,-1.0957545042038,0.966585099697113,-2393.80981445312,-58.1357116699219,-54.8211097717285,-2342.99462890625,-33.2407264709473,-102.552841186523,-2342,-28.4800891876221,-177.057037353516,-2297.79174804688
-50.0697631835938,92.4766159057617,-2495.55053710938,-61.3257598876953,62.8994560241699,-2466.3984375,-0.67882251739502,1.18361461162567,-2393.4873046875,-58.0246353149414,-54.8527450561523,-2343.10229492188,-33.1896705627441,-102.536209106445,-2342.44311523438,-28.6696910858154,-176.765014648438,-2298.16552734375
-54.3608932495117,92.1624374389648,-2493.69311523438,-64.048957824707,62.1323471069336,-2464.52490234375,-0.616933763027191,1.59678995609283,-2392.99682617188,-58.1303100585938,-54.8555221557617,-2343.0224609375,-33.2535591125488,-102.448471069336,-2342.76977539062,-28.9117336273193,-176.454147338867,-2298.517578125
-57.6920890808105,91.9112319946289,-2492.08349609375,-66.2032928466797,61.530216217041,-2462.97338867188,-0.774647951126099,2.12878441810608,-2392.33349609375,-58.4401817321777,-54.8299865722656,-2342.79614257812,-33.4509162902832,-102.310661315918,-2342.94482421875,-29.2434387207031,-176.128570556641,-2298.82861328125
-59.8535385131836,91.5651245117188,-2490.78735351562,-67.6268310546875,60.9457244873047,-2461.77880859375,-0.961558103561401,2.66518664360046,-2391.48364257812,-58.8970336914062,-54.775276184082,-2342.4833984375,-33.7783317565918,-102.156158447266,-2342.947265625,-29.6932468414307,-175.791046142578,-2299.08178710938
-60.8095626831055,90.9606323242188,-2489.75634765625,-68.2486267089844,60.2060928344727,-2460.86987304688,-0.963827908039093,3.06700563430786,-2390.42651367188,-59.4093856811523,-54.6933250427246,-2342.14624023438,-34.2130317687988,-102.025085449219,-2342.76879882812,-30.2702198028564,-175.446411132812,-2299.26220703125
-60.6958465576172,89.94775390625,-2488.8603515625,-68.0862503051758,59.1330223083496,-2460.099609375,-0.575818657875061,3.19433259963989,-2389.14135742188,-59.8741493225098,-54.593376159668,-2341.83227539062,-34.7183647155762,-101.957748413086,-2342.41137695312,-30.9574317932129,-175.105545043945,-2299.35815429688
-59.7718048095703,88.4054946899414,-2487.9375,-67.2284088134766,57.5682830810547,-2459.28540039062,0.368294566869736,2.93262958526611,-2387.61108398438,-60.2018966674805,-54.4937744140625,-2341.56420898438,-35.2498092651367,-101.988502502441,-2341.88745117188,-31.7135372161865,-174.786895751953,-2299.36181640625
-58.3470115661621,86.2573013305664,-2486.84252929688,-65.8100128173828,55.401741027832,-2458.24560546875,1.9666200876236,2.21008348464966,-2385.82177734375,-60.3340454101562,-54.4199638366699,-2341.33740234375,-35.7619247436523,-102.140518188477,-2341.22045898438,-32.483814239502,-174.513824462891,-2299.271484375
-56.7114219665527,83.4839630126953,-2485.48095703125,-63.9889030456543,52.5917129516602,-2456.82568359375,4.23188352584839,1.00061571598053,-2383.76147460938,-60.2477722167969,-54.400074005127,-2341.12548828125,-36.2169876098633,-102.422874450684,-2340.44287109375,-33.2158851623535,-174.309387207031,-2299.0908203125
-55.0899963378906,80.1272354125977,-2483.82202148438,-61.9285202026367,49.1683120727539,-2454.91479492188,7.08960342407227,-0.684155941009521,-2381.42260742188,-59.9523086547852,-54.4604682922363,-2340.88842773438,-36.593620300293,-102.831825256348,-2339.58862304688,-33.8722686767578,-174.191604614258,-2298.82788085938
-53.6254234313965,76.2809371948242,-2481.89184570312,-59.7861366271973,45.2171821594238,-2452.45361328125,10.3939523696899,-2.80701780319214,-2378.80395507812,-59.4827308654785,-54.6226387023926,-2340.58251953125,-36.8918304443359,-103.355918884277,-2338.68603515625,-34.4351081848145,-174.171600341797,-2298.49243164062
-52.3812561035156,72.0730590820312,-2479.75366210938,-57.7044296264648,40.8511085510254,-2449.43310546875,13.9569711685181,-5.31608390808105,-2375.91357421875,-58.8940086364746,-54.901481628418,-2340.1708984375,-37.1318168640137,-103.981643676758,-2337.75170898438,-34.9039001464844,-174.254409790039,-2298.09252929688
-51.358585357666,67.6432647705078,-2477.48510742188,-55.805290222168,36.1822471618652,-2445.88671875,17.5817222595215,-8.15220737457275,-2372.77124023438,-58.2544288635254,-55.3044052124023,-2339.63061523438,-37.3469886779785,-104.696334838867,-2336.791015625,-35.2898292541504,-174.440872192383,-2297.63305664062
-50.5205001831055,63.1208763122559,-2475.15966796875,-54.1862297058105,31.3042488098145,-2441.87866210938,21.0896244049072,-11.2525959014893,-2369.40771484375,-57.6371536254883,-55.8308029174805,-2338.95703125,-37.5743446350098,-105.487686157227,-2335.80126953125,-35.609935760498,-174.728988647461,-2297.1142578125
-49.8152885437012,58.6100845336914,-2472.83715820312,-52.9193420410156,26.2862892150879,-2437.49194335938,24.336124420166,-14.5517292022705,-2365.86108398438,-57.1104431152344,-56.4719200134277,-2338.16088867188,-37.8457946777344,-106.341438293457,-2334.77661132812,-35.8828468322754,-175.113983154297,-2296.53247070312
