"m1_x","m2_x","m3_x"
117.43921661377,134.534027099609,133.779891967773
117.611145019531,133.367431640625,133.524520874023
117.80061340332,131.966751098633,133.21809387207
117.999412536621,130.273956298828,132.836517333984
118.178367614746,128.333618164062,132.37028503418
118.290924072266,126.259094238281,131.815002441406
118.279685974121,124.187034606934,131.166946411133
118.087249755859,122.222381591797,130.420715332031
117.675842285156,120.391754150391,129.567245483398
117.049240112305,118.631462097168,128.594543457031
116.257934570312,116.820205688477,127.49291229248
115.373916625977,114.836486816406,126.263092041016
114.455726623535,112.608787536621,124.921333312988
113.526672363281,110.136619567871,123.496597290039
112.577255249023,107.478828430176,122.02188873291
111.581985473633,104.721527099609,120.52611541748
110.517547607422,101.945671081543,119.031509399414
109.37230682373,99.2091827392578,117.556015014648
108.144439697266,96.5465621948242,116.117065429688
106.836715698242,93.9783477783203,114.733680725098
105.456237792969,91.5214233398438,113.425422668457
104.01774597168,89.1944808959961,112.209854125977
102.546379089355,87.0171661376953,111.099685668945
101.073554992676,85.005615234375,110.101280212402
99.6279830932617,83.1684112548828,109.214645385742
98.2271118164062,81.5043640136719,108.434913635254
96.8763122558594,80.0033493041992,107.754035949707
95.5755310058594,78.6500625610352,107.161781311035
94.3279418945312,77.4280548095703,106.646263122559
93.1439514160156,76.3228073120117,106.194839477539
92.0385589599609,75.3229293823242,105.795524597168
91.0243988037109,74.4196929931641,105.438537597656
90.1064529418945,73.605339050293,105.11735534668
89.2803649902344,72.8710479736328,104.829071044922
88.5364608764648,72.2054977416992,104.573745727539
87.8665161132812,71.5948867797852,104.35302734375
87.2680511474609,71.0243530273438,104.168975830078
86.7425765991211,70.4807205200195,104.02360534668
86.2920684814453,69.9559478759766,103.918998718262
85.9164199829102,69.4496536254883,103.857460021973
85.6138763427734,68.9698333740234,103.841285705566
85.3819580078125,68.5314025878906,103.871955871582
85.2165908813477,68.1519927978516,103.948715209961
85.1086807250977,67.8463897705078,104.067077636719
85.0413970947266,67.6210784912109,104.218414306641
84.9883651733398,67.4706954956055,104.390754699707
84.9129409790039,67.3769302368164,104.570739746094
84.7709121704102,67.3098678588867,104.746192932129
84.5182571411133,67.2319030761719,104.90885925293
84.1228713989258,67.1044845581055,105.056861877441
83.5805053710938,66.89892578125,105.195350646973
82.9288787841797,66.6088256835938,105.333869934082
82.2466659545898,66.2585144042969,105.48136138916
81.6272354125977,65.8998031616211,105.642791748047
81.139533996582,65.5971298217773,105.820487976074
80.8054122924805,65.4129943847656,106.018913269043
80.6063385009766,65.3992691040039,106.24739074707
80.5045928955078,65.5933837890625,106.518188476562
80.4666595458984,66.0159301757812,106.841102600098
80.4755859375,66.6679077148438,107.218559265137
80.528938293457,67.5305480957031,107.643798828125
80.6238327026367,68.5706558227539,108.103370666504
80.7446060180664,69.7510681152344,108.582473754883
80.8639984130859,71.0414810180664,109.07014465332
80.9552154541016,72.4241714477539,109.561683654785
81.0034866333008,73.8924255371094,110.057655334473
81.0117568969727,75.4437866210938,110.561256408691
80.9981994628906,77.0712585449219,111.075119018555
80.9900436401367,78.7553482055664,111.598762512207
81.0162582397461,80.4605407714844,112.126762390137
81.0981903076172,82.138069152832,112.64867401123
81.2422485351562,83.7355651855469,113.151596069336
81.4365234375,85.2117462158203,113.625068664551
81.6554412841797,86.5509490966797,114.067024230957
81.8684921264648,87.7714691162109,114.488182067871
82.0510711669922,88.9230804443359,114.911827087402
82.1923141479492,90.0741348266602,115.369132995605
82.2974624633789,91.2931976318359,115.89168548584
82.3842010498047,92.6320190429688,116.503707885742
82.4731979370117,94.1158218383789,117.215965270996
82.5794906616211,95.7423477172852,118.021621704102
82.7077255249023,97.4889373779297,118.89688873291
82.8538131713867,99.3235473632812,119.807952880859
83.0092086791992,101.21622467041,120.722229003906
83.1639022827148,103.144554138184,121.617156982422
83.3074340820312,105.092895507812,122.483322143555
83.4287948608398,107.045822143555,123.320991516113
83.5199966430664,108.979904174805,124.13346862793
83.5795822143555,110.856513977051,124.919692993164
83.6133270263672,112.618911743164,125.668647766113
83.6322631835938,114.197250366211,126.357963562012
83.6486053466797,115.524696350098,126.959419250488
83.6727905273438,116.568077087402,127.454048156738
83.7138748168945,117.375747680664,127.859512329102
83.7861709594727,118.141784667969,128.268600463867
83.9232406616211,119.276725769043,128.891952514648
84.1956329345703,121.462814331055,130.088104248047
